instanceId;projectId;testScenarioId;dueScenarioId;voltScenarioId;dueDateDays;needsVolt;GasAmount;Pulldown;EE_32;EE_25;EE_16;Perf_25;Perf_43;Perf_38;Perf_32;Perf_16;Perf_10;FreezingC;TemperatureRise;CU_10;CU_25;CU_32
1_1_1;P46;1;1;1;48;0;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1
1_1_1;P47;1;1;1;53;0;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1
1_1_1;P48;1;1;1;56;0;1;1;0;1;0;1;0;1;0;0;1;0;0;1;1;1
1_1_1;P49;1;1;1;46;0;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
1_1_1;P50;1;1;1;57;0;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1
1_1_2;P1;1;1;2;42;1;1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1
1_1_2;P2;1;1;2;46;1;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1
1_1_2;P3;1;1;2;47;0;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1
1_1_2;P4;1;1;2;44;0;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1
1_1_2;P5;1;1;2;50;0;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1
1_1_2;P6;1;1;2;53;1;1;1;0;1;0;1;0;1;1;1;0;0;0;1;1;1
1_1_2;P7;1;1;2;43;0;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1
1_1_2;P8;1;1;2;48;1;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1
1_1_2;P9;1;1;2;52;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1
1_1_2;P10;1;1;2;55;0;1;1;0;1;0;1;0;1;1;1;0;1;1;1;1;1
1_1_2;P11;1;1;2;46;0;1;1;0;1;0;1;0;1;1;1;0;0;0;1;1;1
1_1_2;P12;1;1;2;50;0;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
1_1_2;P13;1;1;2;54;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1
1_1_2;P14;1;1;2;45;1;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
1_1_2;P15;1;1;2;49;0;1;1;0;1;0;1;0;1;0;1;0;0;0;1;1;1
1_1_2;P16;1;1;2;53;0;1;1;0;1;0;1;0;1;0;0;1;1;1;1;1;1
1_1_2;P17;1;1;2;56;0;1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1
1_1_2;P18;1;1;2;46;0;1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1
1_1_2;P19;1;1;2;51;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1
1_1_2;P20;1;1;2;56;1;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1
1_1_2;P21;1;1;2;43;0;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1
1_1_2;P22;1;1;2;47;1;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1
1_1_2;P23;1;1;2;53;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;1;1
1_1_2;P24;1;1;2;57;0;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1
1_1_2;P25;1;1;2;44;1;1;1;0;1;0;1;0;1;1;0;1;0;0;1;1;1
1_1_2;P26;1;1;2;48;0;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
1_1_2;P27;1;1;2;53;1;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1
1_1_2;P28;1;1;2;55;0;1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1
1_1_2;P29;1;1;2;46;0;1;1;0;1;0;1;1;0;0;0;1;1;1;1;1;1
1_1_2;P30;1;1;2;50;0;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1
1_1_2;P31;1;1;2;54;1;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
1_1_2;P32;1;1;2;56;0;1;1;0;1;0;1;0;1;0;0;1;0;0;1;1;1
1_1_2;P33;1;1;2;43;0;1;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1
1_1_2;P34;1;1;2;46;0;1;1;0;1;0;1;0;1;1;0;1;0;0;1;1;1
1_1_2;P35;1;1;2;50;0;1;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1
1_1_2;P36;1;1;2;56;0;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
1_1_2;P37;1;1;2;45;0;1;1;1;0;1;1;1;0;0;0;1;0;0;1;1;1
1_1_2;P38;1;1;2;49;0;1;1;0;1;0;1;0;1;1;1;0;0;0;1;1;1
1_1_2;P39;1;1;2;52;0;1;1;1;0;1;1;1;0;0;1;0;1;1;1;1;1
1_1_2;P40;1;1;2;57;0;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
1_1_2;P41;1;1;2;43;0;1;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1
1_1_2;P42;1;1;2;47;0;1;1;0;1;0;1;0;1;0;0;1;1;1;1;1;1
1_1_2;P43;1;1;2;51;1;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1
1_1_2;P44;1;1;2;55;1;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1
1_1_2;P45;1;1;2;44;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1
1_1_2;P46;1;1;2;48;0;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1
1_1_2;P47;1;1;2;53;0;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1
1_1_2;P48;1;1;2;56;1;1;1;0;1;0;1;0;1;0;0;1;0;0;1;1;1
1_1_2;P49;1;1;2;46;0;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
1_1_2;P50;1;1;2;57;0;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1
1_1_3;P1;1;1;3;42;0;1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1
1_1_3;P2;1;1;3;46;1;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1
1_1_3;P3;1;1;3;47;1;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1
1_1_3;P4;1;1;3;44;0;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1
1_1_3;P5;1;1;3;50;0;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1
1_1_3;P6;1;1;3;53;1;1;1;0;1;0;1;0;1;1;1;0;0;0;1;1;1
1_1_3;P7;1;1;3;43;1;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1
1_1_3;P8;1;1;3;48;0;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1
1_1_3;P9;1;1;3;52;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1
1_1_3;P10;1;1;3;55;0;1;1;0;1;0;1;0;1;1;1;0;1;1;1;1;1
1_1_3;P11;1;1;3;46;1;1;1;0;1;0;1;0;1;1;1;0;0;0;1;1;1
1_1_3;P12;1;1;3;50;1;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
1_1_3;P13;1;1;3;54;1;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1
1_1_3;P14;1;1;3;45;1;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
1_1_3;P15;1;1;3;49;0;1;1;0;1;0;1;0;1;0;1;0;0;0;1;1;1
1_1_3;P16;1;1;3;53;1;1;1;0;1;0;1;0;1;0;0;1;1;1;1;1;1
1_1_3;P17;1;1;3;56;0;1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1
1_1_3;P18;1;1;3;46;1;1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1
1_1_3;P19;1;1;3;51;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1
1_1_3;P20;1;1;3;56;0;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1
1_1_3;P21;1;1;3;43;0;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1
1_1_3;P22;1;1;3;47;0;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1
1_1_3;P23;1;1;3;53;0;1;1;1;0;1;1;0;1;1;0;1;1;1;1;1;1
1_1_3;P24;1;1;3;57;0;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1
1_1_3;P25;1;1;3;44;1;1;1;0;1;0;1;0;1;1;0;1;0;0;1;1;1
1_1_3;P26;1;1;3;48;1;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
1_1_3;P27;1;1;3;53;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1
1_1_3;P28;1;1;3;55;1;1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1
1_1_3;P29;1;1;3;46;0;1;1;0;1;0;1;1;0;0;0;1;1;1;1;1;1
1_1_3;P30;1;1;3;50;0;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1
1_1_3;P31;1;1;3;54;1;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
1_1_3;P32;1;1;3;56;0;1;1;0;1;0;1;0;1;0;0;1;0;0;1;1;1
1_1_3;P33;1;1;3;43;1;1;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1
1_1_3;P34;1;1;3;46;0;1;1;0;1;0;1;0;1;1;0;1;0;0;1;1;1
1_1_3;P35;1;1;3;50;1;1;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1
1_1_3;P36;1;1;3;56;1;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
1_1_3;P37;1;1;3;45;0;1;1;1;0;1;1;1;0;0;0;1;0;0;1;1;1
1_1_3;P38;1;1;3;49;1;1;1;0;1;0;1;0;1;1;1;0;0;0;1;1;1
1_1_3;P39;1;1;3;52;0;1;1;1;0;1;1;1;0;0;1;0;1;1;1;1;1
1_1_3;P40;1;1;3;57;0;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
1_1_3;P41;1;1;3;43;0;1;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1
1_1_3;P42;1;1;3;47;0;1;1;0;1;0;1;0;1;0;0;1;1;1;1;1;1
1_1_3;P43;1;1;3;51;0;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1
1_1_3;P44;1;1;3;55;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1
1_1_3;P45;1;1;3;44;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1
1_1_3;P46;1;1;3;48;1;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1
1_1_3;P47;1;1;3;53;0;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1
1_1_3;P48;1;1;3;56;1;1;1;0;1;0;1;0;1;0;0;1;0;0;1;1;1
1_1_3;P49;1;1;3;46;1;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
1_1_3;P50;1;1;3;57;1;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1
2_1_1;P1;2;1;1;42;0;1;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1
2_1_1;P2;2;1;1;46;0;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1
2_1_1;P3;2;1;1;47;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1
2_1_1;P4;2;1;1;44;0;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1
2_1_1;P5;2;1;1;50;0;1;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1
2_1_1;P6;2;1;1;53;1;1;1;0;1;0;1;0;1;1;0;1;0;0;1;1;1
2_1_1;P7;2;1;1;43;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1
2_1_1;P8;2;1;1;48;0;1;1;1;0;1;1;1;0;0;0;1;0;0;1;1;1
2_1_1;P9;2;1;1;52;0;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1
2_1_1;P10;2;1;1;55;0;1;1;0;1;0;1;0;1;1;1;0;1;1;1;1;1
2_1_1;P11;2;1;1;46;0;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1
2_1_1;P12;2;1;1;50;0;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1
2_1_1;P13;2;1;1;54;0;1;1;0;1;0;1;0;1;0;1;0;0;0;1;1;1
2_1_1;P14;2;1;1;45;1;1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1
2_1_1;P15;2;1;1;49;1;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1
2_1_1;P16;2;1;1;53;0;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1
2_1_1;P17;2;1;1;56;0;1;1;0;1;0;1;0;1;1;1;0;0;0;1;1;1
2_1_1;P18;2;1;1;46;0;1;1;1;0;1;1;0;1;0;1;0;1;1;1;1;1
2_1_1;P19;2;1;1;51;1;1;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1
2_1_1;P20;2;1;1;56;1;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
2_1_1;P21;2;1;1;43;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1
2_1_1;P22;2;1;1;47;0;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1
2_1_1;P23;2;1;1;53;0;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1
2_1_1;P24;2;1;1;57;0;1;1;0;1;0;1;0;1;0;1;0;0;0;1;1;1
2_1_1;P25;2;1;1;44;0;1;1;0;1;0;1;0;1;1;0;1;0;0;1;1;1
2_1_1;P26;2;1;1;48;0;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1
2_1_1;P27;2;1;1;53;0;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1
2_1_1;P28;2;1;1;55;0;1;1;0;1;0;1;1;0;0;0;1;1;1;1;1;1
2_1_1;P29;2;1;1;46;1;1;1;1;0;1;1;0;1;0;1;0;1;1;1;1;1
2_1_1;P30;2;1;1;50;0;1;1;1;0;1;1;0;1;1;1;0;1;1;1;1;1
2_1_1;P31;2;1;1;54;1;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1
2_1_1;P32;2;1;1;56;0;1;1;0;1;0;1;0;1;1;0;1;0;0;1;1;1
2_1_1;P33;2;1;1;43;1;1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1
2_1_1;P34;2;1;1;46;0;1;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1
2_1_1;P35;2;1;1;50;1;1;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1
2_1_1;P36;2;1;1;56;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1
2_1_1;P37;2;1;1;45;0;1;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1
2_1_1;P38;2;1;1;49;0;1;1;0;1;0;1;0;1;1;0;1;0;0;1;1;1
2_1_1;P39;2;1;1;52;0;1;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1
2_1_1;P40;2;1;1;57;0;1;1;0;1;0;1;0;1;0;1;0;0;0;1;1;1
2_1_1;P41;2;1;1;43;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1
2_1_1;P42;2;1;1;47;0;1;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1
2_1_1;P43;2;1;1;51;0;1;1;0;1;0;1;0;1;1;0;1;1;1;1;1;1
2_1_1;P44;2;1;1;55;0;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1
2_1_1;P45;2;1;1;44;1;1;1;0;1;0;1;0;1;0;0;1;0;0;1;1;1
2_1_1;P46;2;1;1;48;0;1;1;0;1;0;1;1;0;1;0;1;0;0;1;1;1
2_1_1;P47;2;1;1;53;0;1;1;0;1;0;1;0;1;0;0;1;0;0;1;1;1
2_1_1;P48;2;1;1;56;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1
2_1_1;P49;2;1;1;46;0;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
2_1_1;P50;2;1;1;57;0;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1
2_1_2;P1;2;1;2;42;1;1;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1
2_1_2;P2;2;1;2;46;1;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1
2_1_2;P3;2;1;2;47;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1
2_1_2;P4;2;1;2;44;0;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1
2_1_2;P5;2;1;2;50;0;1;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1
2_1_2;P6;2;1;2;53;1;1;1;0;1;0;1;0;1;1;0;1;0;0;1;1;1
2_1_2;P7;2;1;2;43;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1
2_1_2;P8;2;1;2;48;1;1;1;1;0;1;1;1;0;0;0;1;0;0;1;1;1
2_1_2;P9;2;1;2;52;0;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1
2_1_2;P10;2;1;2;55;0;1;1;0;1;0;1;0;1;1;1;0;1;1;1;1;1
2_1_2;P11;2;1;2;46;0;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1
2_1_2;P12;2;1;2;50;0;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1
2_1_2;P13;2;1;2;54;0;1;1;0;1;0;1;0;1;0;1;0;0;0;1;1;1
2_1_2;P14;2;1;2;45;1;1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1
2_1_2;P15;2;1;2;49;0;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1
2_1_2;P16;2;1;2;53;0;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1
2_1_2;P17;2;1;2;56;0;1;1;0;1;0;1;0;1;1;1;0;0;0;1;1;1
2_1_2;P18;2;1;2;46;0;1;1;1;0;1;1;0;1;0;1;0;1;1;1;1;1
2_1_2;P19;2;1;2;51;0;1;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1
2_1_2;P20;2;1;2;56;1;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
2_1_2;P21;2;1;2;43;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1
2_1_2;P22;2;1;2;47;1;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1
2_1_2;P23;2;1;2;53;1;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1
2_1_2;P24;2;1;2;57;0;1;1;0;1;0;1;0;1;0;1;0;0;0;1;1;1
2_1_2;P25;2;1;2;44;1;1;1;0;1;0;1;0;1;1;0;1;0;0;1;1;1
2_1_2;P26;2;1;2;48;0;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1
2_1_2;P27;2;1;2;53;1;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1
2_1_2;P28;2;1;2;55;0;1;1;0;1;0;1;1;0;0;0;1;1;1;1;1;1
2_1_2;P29;2;1;2;46;0;1;1;1;0;1;1;0;1;0;1;0;1;1;1;1;1
2_1_2;P30;2;1;2;50;0;1;1;1;0;1;1;0;1;1;1;0;1;1;1;1;1
2_1_2;P31;2;1;2;54;1;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1
2_1_2;P32;2;1;2;56;0;1;1;0;1;0;1;0;1;1;0;1;0;0;1;1;1
2_1_2;P33;2;1;2;43;0;1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1
2_1_2;P34;2;1;2;46;0;1;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1
2_1_2;P35;2;1;2;50;0;1;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1
2_1_2;P36;2;1;2;56;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1
2_1_2;P37;2;1;2;45;0;1;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1
2_1_2;P38;2;1;2;49;0;1;1;0;1;0;1;0;1;1;0;1;0;0;1;1;1
2_1_2;P39;2;1;2;52;0;1;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1
2_1_2;P40;2;1;2;57;0;1;1;0;1;0;1;0;1;0;1;0;0;0;1;1;1
2_1_2;P41;2;1;2;43;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1
2_1_2;P42;2;1;2;47;0;1;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1
2_1_2;P43;2;1;2;51;1;1;1;0;1;0;1;0;1;1;0;1;1;1;1;1;1
2_1_2;P44;2;1;2;55;1;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1
2_1_2;P45;2;1;2;44;0;1;1;0;1;0;1;0;1;0;0;1;0;0;1;1;1
2_1_2;P46;2;1;2;48;0;1;1;0;1;0;1;1;0;1;0;1;0;0;1;1;1
2_1_2;P47;2;1;2;53;0;1;1;0;1;0;1;0;1;0;0;1;0;0;1;1;1
2_1_2;P48;2;1;2;56;1;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1
2_1_2;P49;2;1;2;46;0;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1
2_1_2;P50;2;1;2;57;0;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1
2_1_3;P1;2;1;3;42;0;1;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1
2_1_3;P2;2;1;3;46;1;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1
2_1_3;P3;2;1;3;47;1;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1
2_1_3;P4;2;1;3;44;0;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1
2_1_3;P5;2;1;3;50;0;1;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1
2_1_3;P6;2;1;3;53;1;1;1;0;1;0;1;0;1;1;0;1;0;0;1;1;1
2_1_3;P7;2;1;3;43;1;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;1
2_1_3;P8;2;1;3;48;0;1;1;1;0;1;1;1;0;0;0;1;0;0;1;1;1
2_1_3;P9;2;1;3;52;0;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1
2_1_3;P10;2;1;3;55;0;1;1;0;1;0;1;0;1;1;1;0;1;1;1;1;1
2_1_3;P11;2;1;3;46;1;1;1;0;1;0;1;1;0;0;1;0;0;0;1;1;1
2_1_3;P12;2;1;3;50;1;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1
2_1_3;P13;2;1;3;54;1;1;1;0;1;0;1;0;1;0;1;0;0;0;1;1;1
2_1_3;P14;2;1;3;45;1;1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1
2_1_3;P15;2;1;3;49;0;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1
2_1_3;P16;2;1;3;53;1;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1
2_1_3;P17;2;1;3;56;0;1;1;0;1;0;1;0;1;1;1;0;0;0;1;1;1
2_1_3;P18;2;1;3;46;1;1;1;1;0;1;1;0;1;0;1;0;1;1;1;1;1
2_1_3;P19;2;1;3;51;0;1;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1
